./Problems/kroC100.tsp,Mean,Standard Deviation
Interation: 1,144396.47765363046,2.9103830456733704E-11
Interation: 2,149588.56994519872,0.0
Interation: 3,149298.59132173265,2.9103830456733704E-11
Interation: 4,142695.5707624299,2.9103830456733704E-11
Interation: 5,154288.07794604867,2.9103830456733704E-11
Interation: 6,149793.4340711423,2.9103830456733704E-11
Interation: 7,149792.71333168025,0.0
Interation: 8,152751.55896341524,0.0
Interation: 9,139207.98551116907,0.0
Interation: 10,152243.29327419863,2.9103830456733704E-11
Interation: 11,148925.92249070195,2.9103830456733704E-11
Interation: 12,150611.90122695474,2.9103830456733704E-11
Interation: 13,141725.70959546833,2.9103830456733704E-11
Interation: 14,148119.29528216363,0.0
Interation: 15,154288.31921280312,2.9103830456733704E-11
Interation: 16,147874.13181697027,2.9103830456733704E-11
Interation: 17,154602.8258078606,0.0
Interation: 18,150993.85904176865,2.9103830456733704E-11
Interation: 19,153165.710515016,0.0
Interation: 20,145840.77961048996,0.0
Interation: 21,145244.7081971336,0.0
Interation: 22,152883.56348711724,2.9103830456733704E-11
Interation: 23,151017.47446683867,0.0
Interation: 24,149670.1358559646,2.9103830456733704E-11
Interation: 25,148617.77441846573,2.9103830456733704E-11
Interation: 26,151558.7107937126,0.0
Interation: 27,140845.92481789927,0.0
Interation: 28,149967.41895861668,0.0
Interation: 29,140737.44864488867,2.9103830456733704E-11
Interation: 30,147425.10971543053,0.0
