./Problems/pcb442.tsp,Mean,Standard Deviation
Interation: 1,731231.9615118607,1.1641532182693481E-10
Interation: 2,724345.9155853272,1.1641532182693481E-10
Interation: 3,721969.7718492339,1.1641532182693481E-10
Interation: 4,721370.7981864669,0.0
Interation: 5,729280.4110252165,1.1641532182693481E-10
Interation: 6,723911.4751269243,1.1641532182693481E-10
Interation: 7,728586.3856819589,0.0
Interation: 8,732320.3299215593,0.0
Interation: 9,733935.9334455993,1.1641532182693481E-10
Interation: 10,734322.5646499518,0.0
Interation: 11,727672.5137054202,0.0
Interation: 12,722873.9671558456,1.1641532182693481E-10
Interation: 13,731072.0457895414,1.1641532182693481E-10
Interation: 14,726213.4035865329,0.0
Interation: 15,726443.1875974761,0.0
Interation: 16,727530.2161823371,0.0
Interation: 17,715844.078374345,1.1641532182693481E-10
Interation: 18,725959.4406844025,0.0
Interation: 19,721632.0889634072,0.0
Interation: 20,724198.5433888559,1.1641532182693481E-10
Interation: 21,729139.3139969393,1.1641532182693481E-10
Interation: 22,731660.8644985675,1.1641532182693481E-10
Interation: 23,729114.285523475,0.0
Interation: 24,706692.1259418823,1.1641532182693481E-10
Interation: 25,722341.1574565627,0.0
Interation: 26,731641.4830476475,1.1641532182693481E-10
Interation: 27,725004.3284485108,1.1641532182693481E-10
Interation: 28,722491.1685445317,0.0
Interation: 29,723372.8208249245,1.1641532182693481E-10
Interation: 30,727574.3113091782,0.0
