./Problems/pr2392.tsp,Mean,Standard Deviation
Interation: 1,1.4805815669270616E7,1.862645149230957E-9
Interation: 2,1.4775260997775491E7,1.862645149230957E-9
Interation: 3,1.4814126884570044E7,0.0
Interation: 4,1.4764439759478536E7,1.862645149230957E-9
Interation: 5,1.4819632935769457E7,1.862645149230957E-9
Interation: 6,1.4800945693062235E7,1.862645149230957E-9
Interation: 7,1.471413229588696E7,1.862645149230957E-9
Interation: 8,1.4816619054310258E7,1.862645149230957E-9
Interation: 9,1.474846567321406E7,1.862645149230957E-9
Interation: 10,1.4816335729454685E7,1.862645149230957E-9
Interation: 11,1.4776654076136652E7,1.862645149230957E-9
Interation: 12,1.4749818002189044E7,0.0
Interation: 13,1.480520058846213E7,0.0
Interation: 14,1.4792994282448258E7,0.0
Interation: 15,1.4761282162865732E7,1.862645149230957E-9
Interation: 16,1.474430258732142E7,1.862645149230957E-9
Interation: 17,1.4764700502880428E7,3.725290298461914E-9
Interation: 18,1.4802228937455956E7,1.862645149230957E-9
Interation: 19,1.4784159303596701E7,1.862645149230957E-9
Interation: 20,1.4708301701122526E7,1.862645149230957E-9
